age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
47.0,management,married,tertiary,no,-315,yes,yes,cellular,27,aug,112.0,9.0,-1.0,0,unknown,no
42.0,management,married,tertiary,no,0,no,no,cellular,26,aug,179.0,16.0,-1.0,0,unknown,no
25.0,student,single,secondary,no,154,no,no,cellular,2,sep,382.0,1.0,183.0,3,success,yes
49.0,housemaid,divorced,secondary,no,267,no,no,telephone,9,feb,23.0,5.0,-1.0,0,unknown,no
25.0,blue-collar,single,primary,no,-221,yes,no,unknown,23,may,250.0,1.0,-1.0,0,unknown,no
30.0,blue-collar,single,secondary,no,1224,yes,no,cellular,17,apr,196.0,2.0,-1.0,0,unknown,no
44.0,management,married,tertiary,no,6203,yes,yes,cellular,17,nov,58.0,1.0,188.0,1,failure,no
33.0,technician,married,secondary,no,-1040,yes,yes,unknown,27,may,130.0,1.0,-1.0,0,unknown,no
56.0,admin,married,secondary,no,1848,yes,no,cellular,4,feb,147.0,2.0,260.0,1,failure,no
34.0,blue-collar,married,secondary,yes,-745,yes,yes,cellular,11,jul,131.0,2.0,-1.0,0,unknown,no
37.0,management,married,secondary,no,209,no,no,cellular,14,oct,183.0,3.0,528.0,7,unknown,no
36.0,unemployed,married,tertiary,no,7222,yes,no,cellular,4,nov,116.0,4.0,154.0,1,failure,no
41.0,blue-collar,married,primary,no,33,yes,yes,cellular,30,jul,125.0,5.0,-1.0,0,unknown,no
40.0,entrepreneur,married,tertiary,no,1089,yes,yes,unknown,13,may,195.0,5.0,-1.0,0,unknown,no
59.0,management,married,secondary,no,1083,no,no,cellular,20,nov,125.0,2.0,-1.0,0,unknown,no
38.0,technician,married,tertiary,no,3234,no,no,cellular,18,nov,578.0,2.0,-1.0,0,unknown,yes
56.0,blue-collar,married,primary,no,0,yes,no,cellular,17,jul,82.0,1.0,-1.0,0,unknown,no
52.0,blue-collar,single,primary,no,0,no,no,cellular,15,jul,131.0,2.0,-1.0,0,unknown,no
36.0,technician,married,secondary,no,594,no,yes,cellular,4,aug,230.0,3.0,-1.0,0,unknown,no
30.0,admin,single,secondary,no,28,no,no,unknown,20,aug,107.0,1.0,-1.0,0,unknown,no
42.0,technician,married,secondary,no,3501,no,no,cellular,28,aug,23.0,22.0,-1.0,0,unknown,no
40.0,technician,divorced,secondary,no,0,no,no,cellular,7,aug,674.0,2.0,-1.0,0,unknown,yes
27.0,blue-collar,married,primary,no,60,yes,no,unknown,3,jun,550.0,1.0,-1.0,0,unknown,no
53.0,housemaid,married,primary,no,0,no,no,cellular,8,oct,148.0,1.0,-1.0,0,unknown,no
38.0,services,single,secondary,no,322,yes,no,unknown,26,may,61.0,1.0,-1.0,0,unknown,no
47.0,technician,divorced,secondary,no,-81,yes,no,cellular,21,nov,262.0,1.0,-1.0,0,unknown,no
43.0,admin,married,secondary,no,1998,yes,no,cellular,20,nov,48.0,4.0,-1.0,0,unknown,no
30.0,management,single,tertiary,no,485,yes,no,cellular,21,nov,89.0,2.0,-1.0,0,unknown,no
47.0,blue-collar,married,secondary,no,1875,yes,no,cellular,14,jul,157.0,3.0,-1.0,0,unknown,no
30.0,blue-collar,single,secondary,no,161,no,yes,telephone,8,sep,298.0,3.0,-1.0,0,unknown,yes
27.0,services,married,secondary,no,221,no,yes,cellular,7,jul,554.0,1.0,-1.0,0,unknown,no
30.0,technician,married,tertiary,no,91,no,no,cellular,10,jul,363.0,2.0,-1.0,0,unknown,no
53.0,services,divorced,secondary,no,-905,yes,no,unknown,28,may,213.0,1.0,-1.0,0,unknown,no
39.0,technician,married,secondary,no,0,yes,no,cellular,16,apr,137.0,1.0,300.0,1,failure,no
28.0,student,single,secondary,no,949,yes,no,unknown,28,may,1730.0,1.0,-1.0,0,unknown,yes
28.0,services,divorced,secondary,no,356,no,no,cellular,28,jan,296.0,1.0,-1.0,0,unknown,no
